cnpj;nome_fantasia;cnae_fiscal_principal;descricao_cnae;segmento_varejo;exposicao_ecommerce;bairro;bairro_normalizado;eh_centro;data_inicio_atividade;situacao_cadastral;descricao_situacao_cadastral;baixada;data_fechamento;ano_fechamento;mes_fechamento;periodo_fechamento;fechou_desde_2000
03646398000126;EVIDENCIA STREET WEAR;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;ALVORADA  I;ALVORADA  I;False;2000-02-16;08;BAIXADA;True;2025-01-15;2025;1;2022-2026;True
96677315000147;LANCHONETE E PADARIA IDEAL;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;IBIRAPUERA;IBIRAPUERA;False;1993-05-18;08;BAIXADA;True;2002-11-11;2002;11;2000-2009;True
05328550000158;;4789008;Comércio varejista de artigos fotográficos e para filmagem;Outros varejos;Média;VILA REZENDE;VILA REZENDE;False;2002-10-04;04;INAPTA;False;;;;;False
03660475000100;;4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;Varejo alimentar;Média;JARDIM CAXAMBU;JARDIM CAXAMBU;False;2000-02-17;08;BAIXADA;True;2011-06-08;2011;6;2010-2015;True
03664221000152;COFFEE & BEER;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;Varejo alimentar;Média;CENTRO;CENTRO;True;2000-02-21;08;BAIXADA;True;2002-01-24;2002;1;2000-2009;True
01992541000106;TUDO POR R$1,99;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;CENTRO;CENTRO;True;1997-07-14;08;BAIXADA;True;2009-04-16;2009;4;2000-2009;True
03674012000190;;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;CIDADE ALTA;CIDADE ALTA;False;2000-02-23;02;ATIVA;False;;;;;False
05348865000167;;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;AGUA BRANCA;AGUA BRANCA;False;2002-10-16;08;BAIXADA;True;2016-08-11;2016;8;2016-2019;True
03677757000102;CALDEIRAO DA BRUXA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;PAULISTA;PAULISTA;False;2000-02-28;08;BAIXADA;True;2001-02-01;2001;2;2000-2009;True
03680226000179;;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;PARQUE DO CHAPADAO;PARQUE DO CHAPADAO;False;2000-02-25;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
05360776000136;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;PAU DALHINHO;PAU DALHINHO;False;2002-10-02;08;BAIXADA;True;2015-11-10;2015;11;2010-2015;True
03690702000132;;4744005;Comércio varejista de materiais de construção não especificados anteriormente;Casa e construção;Média;CENTRO;CENTRO;True;2000-03-13;04;INAPTA;False;;;;;False
03690738000116;;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;Outros varejos;Média;JARDIM ELITE;JARDIM ELITE;False;2000-02-29;08;BAIXADA;True;2002-09-12;2002;9;2000-2009;True
05366291000150;ENGENHO DA MODA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;VILA REZENDE;VILA REZENDE;False;2002-10-29;08;BAIXADA;True;2018-09-13;2018;9;2016-2019;True
05368738000120;AVICULTURA BELA VISTA;4789004;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;Outros varejos;Média;PQ BELA VISTA;PQ BELA VISTA;False;2002-10-31;08;BAIXADA;True;2008-09-26;2008;9;2000-2009;True
02014958000167;BAR DO CARLAO;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;1997-07-25;08;BAIXADA;True;1998-07-20;1998;7;Antes de 2000;False
02015037000119;;4774100;Comércio varejista de artigos de óptica;Óptica;Média;PIRACICAMIRIM;PIRACICAMIRIM;False;1997-07-25;08;BAIXADA;True;1998-03-31;1998;3;Antes de 2000;False
03696810000112;;4754701;Comércio varejista de móveis;Casa e decoração;Alta;VILA INDUSTRIAL;VILA INDUSTRIAL;False;2000-03-13;08;BAIXADA;True;2007-03-15;2007;3;2000-2009;True
00399009000117;;4774100;Comércio varejista de artigos de óptica;Óptica;Média;CENTRO;CENTRO;True;1995-01-16;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
02016596000143;;4755502;Comercio varejista de artigos de armarinho;Casa e decoração;Alta;PQ CECAP II;PQ CECAP II;False;1997-07-25;02;ATIVA;False;;;;;False
00401677000131;;4755501;Comércio varejista de tecidos;Casa e decoração;Alta;CENTRO;CENTRO;True;1995-01-19;08;BAIXADA;True;1998-12-30;1998;12;Antes de 2000;False
03701764000100;ANGEL VIDEO LOCADORA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;SANTA TEREZINHA;SANTA TEREZINHA;False;2000-03-02;04;INAPTA;False;;;;;False
